mask_func,iter,fid_value
linear,0,30.756993820903574
linear,1,30.756993820903574
linear,2,30.360492436817168
linear,3,30.789397037082864
linear,4,31.00651685430074
linear,5,31.020139357467258
linear,6,30.974291275600677
linear,7,30.89909202392508
linear,8,31.00248457812259
linear,9,31.219199265465733
linear,10,31.31861936836009
linear,11,31.326707886704895
linear,12,31.66945951119294
linear,13,31.772990887275597
linear,14,31.596323411326352
linear,15,31.791696849320658
linear,16,31.883384294809616
linear,17,31.89982488908899
linear,18,31.887695145202315
linear,19,31.887695145202315
cosine,0,30.756993820903574
cosine,1,30.756993820903574
cosine,2,30.81446891175102
cosine,3,30.869873633939648
cosine,4,30.880748556824955
cosine,5,30.858927160914106
cosine,6,30.4526461094176
cosine,7,30.64396349566138
cosine,8,31.185932430089196
cosine,9,31.20720119887625
cosine,10,30.96874551325473
cosine,11,30.846945720441028
cosine,12,31.10941077456536
cosine,13,31.27953644977032
cosine,14,31.158185210797853
cosine,15,31.27791110201656
cosine,16,31.457638993283496
cosine,17,31.55843330796486
cosine,18,31.500217312870916
cosine,19,31.500217312870916
square,0,30.756993820903574
square,1,30.756993820903574
square,2,30.81778074860688
square,3,30.819665828190892
square,4,30.79868719342224
square,5,30.93974259748228
square,6,30.766293115586564
square,7,30.566122807716795
square,8,30.949401297770464
square,9,30.984574614349327
square,10,31.396802431322243
square,11,31.298484445023092
square,12,31.3463246140779
square,13,31.24335558702151
square,14,31.4762307387997
square,15,31.69972027142734
square,16,31.65695643556353
square,17,31.588315652057105
square,18,31.827156370743154
square,19,31.827156370743154
